"PLOT_ID","X_albers","Y_albers","X_UTM","Y_UTM","Site","Forest","dbhThreshcm","PlotSizeAcres","PlotSize","RandomUniform","fpc","Elev_Class","CC_Class","Stratum","DOM_TYPE","Dom_Type_Label","Secondary_Label","LifeForm","ForestType","TCUFT","STBIOMS","Elev_ave","Elev_mode","Elev_stddev","Elev_variance","Elev_CV","Elev_IQ","Elev_skewness","Elev_kurtosis","Elev_AAD","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_P01","Elev_P05","Elev_P10","Elev_P20","Elev_P25","Elev_P30","Elev_P40","Elev_P50","Elev_P60","Elev_P70","Elev_P75","Elev_P80","Elev_P90","Elev_P95","Elev_P99","Pct_first_returns_above_ht","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","First_returns_above_ht","All_returns_above_ht","Pct_first_returns_above_mean","Pct_first_returns_above_mode","pct_all_returns_above_mean","pct_all_returns_above_mode","All_returns_above_mean_div_Total_first_returns_x_100","All_returns_above_mode_div_Total_first_returns_x_100","First_returns_above_mean","First_returns_above_mode","All_returns_above_mean","All_returns_above_mode","Total_first_returns","Total_all_returns"
"0304070005950006_0001",-1382202.20782,-200243.828802,474372.321841,3841737.57841,"fourFri, P1","Coconino",12.7,0.05,"1/20 Acre",0.457226255210117,97.18403149,999,999,"30407000595006","PIPO","update","update","update","update",2157.42,42.22,10.41,8.46,4.33,18.77,0.41,5.43,0.37,3.14,3.45,2.73,3.27,2.42,0.12,0.32,0.23,0.05,0.13,2.44,3.06,4.48,6.93,7.65,8.32,8.99,10.14,11.52,12.46,13.08,13.8,15.5,18.36,22.68,68.38,56.22,74.25,1596,1733,35.98,49.65,28.71,39.64,37.91,52.35,840,1159,885,1222,2334,3082
"0304070005950006_0002",-1381724.86677,-200316.178934,474858.901105,3841741.18315,"fourFri, P1","Coconino",12.7,0.05,"1/20 Acre",0.531935146311298,97.18403149,999,999,"30407000595006","PIPO","update","update","update","update",180,4.32,4.86,3.03,1.61,2.61,0.33,2.58,0.12,2.08,1.37,1.3,1.85,0.93,0.02,0.03,0.19,0.02,0.03,2.1,2.39,2.67,3.21,3.49,3.72,4.36,4.89,5.45,5.9,6.08,6.33,6.93,7.47,8.44,20.84,20,20.84,296,296,12.39,20.77,11.89,19.93,12.39,20.77,176,295,176,295,1420,1480
"0304070005950006_0003",-1382249.16341,-200065.608794,474297.315356,3841904.74541,"fourFri, P1","Coconino",12.7,0.05,"1/20 Acre",0.222430981695652,97.18403149,999,999,"30407000595006","PIPO","update","update","update","update",3860,85.43,14.46,18.29,5.61,31.48,0.38,9.27,-0.44,1.99,4.76,4.27,3.61,3.19,-0.4,0.05,0.22,-0.12,0.01,3.27,4.48,5.7,8.6,9.88,11.47,14,15.17,17.34,18.61,19.16,19.71,21.15,21.74,22.6,45.9,46.43,54.24,644,761,28.79,18.38,26.11,15.74,30.5,18.38,404,258,428,258,1403,1639
"0304070005950006_0004",-1382050.87143,-200106.129659,474501.105475,3841895.99615,"fourFri, P1","Coconino",12.7,0.05,"1/20 Acre",0.323301742784679,97.18403149,999,999,"30407000595006","TEIX","update","update","update","update",679.89,18.46,4.29,3.75,1.17,1.38,0.27,1.74,0.2,2.48,0.97,0.86,0.95,0.67,0.02,0.05,0.15,0.03,0.08,2.09,2.47,2.7,3.22,3.39,3.62,3.9,4.27,4.63,4.98,5.13,5.29,5.83,6.26,7.11,26.3,24.6,26.33,713,714,15.38,20.43,14.36,19.09,15.38,20.43,417,554,417,554,2711,2902
"0304070005950006_0005",-1381828.96896,-200221.792462,474740.314884,3841817.35958,"fourFri, P1","Coconino",12.7,0.05,"1/20 Acre",0.445308579830453,97.18403149,999,999,"30407000595006","PIPO_QUGA","update","update","update","update",1465.03,35.03,6.99,7.98,2.41,5.83,0.34,3.7,-0.23,2.1,2.02,1.83,1.78,1.38,-0.08,0.07,0.19,-0.06,0.05,2.22,2.87,3.31,4.54,5.16,5.71,6.59,7.23,7.94,8.53,8.86,9.2,10.07,10.6,11.22,59.98,50.15,61.12,787,802,35.89,25.83,29.45,21.2,35.89,25.83,471,339,471,339,1312,1599
"0304070005950006_0007",-1382140.47726,-199893.640198,474378.212594,3842090.0638,"fourFri, P1","Coconino",12.7,0.05,"1/20 Acre",0.21503747580573,97.18403149,999,999,"30407000595006","PIPO","update","update","update","update",393.69,9.46,6.46,3.91,2.67,7.17,0.41,4.13,0.63,2.81,2.16,2.06,2.28,1.5,0.2,0.12,0.23,0.13,0.08,2.23,3.04,3.43,3.93,4.13,4.3,5.65,6.2,6.77,7.7,8.27,8.61,10.52,11.41,13.36,31.34,28.66,32.73,404,422,14.81,26.92,13.38,24.45,15.28,27.92,191,347,197,360,1289,1472
"0304070005950006_0008",-1381970.57327,-199921.164601,474551.686459,3842089.61182,"fourFri, P1","Coconino",12.7,0.05,"1/20 Acre",0.498148259473965,97.18403149,999,999,"30407000595006","PIPO","update","update","update","update",1102,25.57,7.52,6.25,2.52,6.38,0.33,4.13,0.1,2.07,2.13,2.02,1.89,1.45,0.04,0.06,0.19,0.03,0.04,2.62,3.5,4.3,5.27,5.58,5.86,6.47,7.41,8.13,9.03,9.71,10.09,11.12,11.74,12.42,43.55,38.89,44.63,1121,1149,21.95,29.52,19.12,25.86,21.95,29.68,565,760,565,764,2574,2954
"0304070005950010_0001",-1381676.15969,-200138.945037,474879.265944,3841922.30309,"fourFri, P1","Coconino",12.7,0.0666667,"1/15 Acre",0.4134795605205,45.01674809,999,999,"30407000595010","JUDE2_PIPO","update","update","update","update",1186.27,26.7,6.11,4.59,3.05,9.34,0.49,2.85,1.2,3.68,2.33,1.28,1.33,1.61,0.45,0.26,0.26,0.28,0.16,2.17,2.66,3.03,3.83,4.05,4.29,4.8,5.24,5.71,6.33,6.9,8.51,11.24,12.77,14.9,25.78,25.52,26.81,476,495,9.42,18.79,9.17,18.41,9.64,19.33,174,347,178,357,1846,1939
"0304070005950010_0002",-1381490.91331,-200253.312139,475081.785331,3841839.21836,"fourFri, P1","Coconino",12.7,0.0666667,"1/15 Acre",0.17291438835673,45.01674809,999,999,"30407000595010","JUDE2_QUGA","update","update","update","update",370.98,10.24,3.4,2.75,1,1.01,0.29,1.17,2.06,9.91,0.71,0.58,0.56,0.5,0.1,0.09,0.14,0.21,0.17,2.08,2.24,2.38,2.61,2.72,2.81,3.04,3.24,3.48,3.7,3.89,4.02,4.5,4.74,7.93,13.73,13.52,13.82,612,616,9.67,16.37,9.51,16.12,9.71,16.46,431,730,433,734,4457,4553
"0304070005950010_0003",-1381268.75316,-200203.242662,475294.961811,3841922.88468,"fourFri, P1","Coconino",12.7,0.0666667,"1/15 Acre",0.735794823383912,45.01674809,999,999,"30407000595010","JUDE2_QUGA","update","update","update","update",836.54,24.98,4.22,5.09,1.27,1.61,0.3,2.12,0.06,2.02,1.09,1.05,1.09,0.73,0.005304,0.01,0.17,0.007244,0.02,2.07,2.26,2.45,2.9,3.1,3.32,3.8,4.26,4.74,5.1,5.23,5.4,5.81,6.22,6.93,22.64,21.58,22.64,437,437,14.66,8.8,13.97,8.39,14.66,8.8,283,170,283,170,1930,2025
"0304070005950010_0004",-1381250.80152,-200037.633727,475286.560006,3842087.82649,"fourFri, P1","Coconino",12.7,0.0666667,"1/15 Acre",0.103660569991916,45.01674809,999,999,"30407000595010","JUDE2_PIPO","update","update","update","update",1511.68,35,5.51,4.56,2.66,7.09,0.48,3.3,0.91,2.84,2.15,1.49,1.42,1.45,0.34,0.13,0.26,0.23,0.09,2.09,2.39,2.66,3.27,3.45,3.68,4.3,4.74,5.27,6.27,6.76,7.83,9.92,10.83,12.1,42.13,39.48,42.79,632,642,18.33,27.33,17.15,25.58,18.6,27.73,275,410,279,416,1500,1626
"0304070005950011_0001",-1381971.75424,-200888.65572,474703.981871,3841142.18544,"fourFri, P1","Coconino",12.7,0.0333333,"1/30 Acre",0.50265794317238,102.5904468,999,999,"30407000595011","JUDE2","update","update","update","update",1098.74,25.04,3.87,2.72,1.89,3.58,0.48,1.5,1.74,5.37,1.35,0.68,0.63,0.92,0.36,0.2,0.23,0.38,0.22,2.03,2.14,2.28,2.55,2.65,2.78,2.99,3.24,3.55,3.88,4.15,4.48,7.29,8.31,9.87,37.72,35.73,38.26,352,357,19.29,46.08,18.11,43.54,19.39,46.62,180,430,181,435,933,999
"0304070005950011_0002",-1382190.24355,-200670.544583,474451.919631,3841321.65903,"fourFri, P1","Coconino",12.7,0.0333333,"1/30 Acre",0.264133746968582,102.5904468,999,999,"30407000595011","JUDE2_PIPO","update","update","update","update",1067.59,23.09,5.08,4.43,1.66,2.75,0.32,2.5,0.1,2.15,1.38,1.24,1.29,0.95,0.02,0.05,0.18,0.02,0.05,2.12,2.37,2.8,3.65,3.85,4.09,4.49,5.03,5.52,6.04,6.36,6.65,7.4,7.73,8.37,37.43,34.82,37.65,341,343,20.96,26.67,19.39,24.67,20.96,26.67,191,243,191,243,911,985
